id,name,type,mode,octave,inversion,split
35,Ab-5-aug-chord-2,chord,aug-chord,5,2,train
36,Ab-6-aug-chord-0,chord,aug-chord,6,0,train
37,Ab-6-aug-chord-1,chord,aug-chord,6,1,train
38,Ab-6-aug-chord-2,chord,aug-chord,6,2,train
39,Ab-7-aug-chord-0,chord,aug-chord,7,0,train
40,Ab-7-aug-chord-1,chord,aug-chord,7,1,train
41,Ab-7-aug-chord-2,chord,aug-chord,7,2,train
42,B-1-aug-chord-0,chord,aug-chord,1,0,train
43,B-1-aug-chord-1,chord,aug-chord,1,1,train
44,B-1-aug-chord-2,chord,aug-chord,1,2,validation
45,B-2-aug-chord-0,chord,aug-chord,2,0,train
46,B-2-aug-chord-1,chord,aug-chord,2,1,train
47,B-2-aug-chord-2,chord,aug-chord,2,2,train
48,B-3-aug-chord-0,chord,aug-chord,3,0,train
49,B-3-aug-chord-1,chord,aug-chord,3,1,test
50,B-3-aug-chord-2,chord,aug-chord,3,2,validation
51,B-4-aug-chord-0,chord,aug-chord,4,0,validation
52,B-4-aug-chord-1,chord,aug-chord,4,1,train
53,B-4-aug-chord-2,chord,aug-chord,4,2,test
54,B-5-aug-chord-0,chord,aug-chord,5,0,train
55,B-5-aug-chord-1,chord,aug-chord,5,1,test
56,B-5-aug-chord-2,chord,aug-chord,5,2,validation
57,B-6-aug-chord-0,chord,aug-chord,6,0,train
58,B-6-aug-chord-1,chord,aug-chord,6,1,train
59,B-6-aug-chord-2,chord,aug-chord,6,2,train
60,B-7-aug-chord-0,chord,aug-chord,7,0,validation
61,B-7-aug-chord-1,chord,aug-chord,7,1,train
62,B-7-aug-chord-2,chord,aug-chord,7,2,train
63,Bb-1-aug-chord-0,chord,aug-chord,1,0,train
64,Bb-1-aug-chord-1,chord,aug-chord,1,1,validation
65,Bb-1-aug-chord-2,chord,aug-chord,1,2,validation
66,Bb-2-aug-chord-0,chord,aug-chord,2,0,train
67,Bb-2-aug-chord-1,chord,aug-chord,2,1,train
68,Bb-2-aug-chord-2,chord,aug-chord,2,2,validation
69,Bb-3-aug-chord-0,chord,aug-chord,3,0,train
70,Bb-3-aug-chord-1,chord,aug-chord,3,1,train
71,Bb-3-aug-chord-2,chord,aug-chord,3,2,train
72,Bb-4-aug-chord-0,chord,aug-chord,4,0,train
73,Bb-4-aug-chord-1,chord,aug-chord,4,1,train
74,Bb-4-aug-chord-2,chord,aug-chord,4,2,train
75,Bb-5-aug-chord-0,chord,aug-chord,5,0,train
76,Bb-5-aug-chord-1,chord,aug-chord,5,1,train
77,Bb-5-aug-chord-2,chord,aug-chord,5,2,train
78,Bb-6-aug-chord-0,chord,aug-chord,6,0,train
79,Bb-6-aug-chord-1,chord,aug-chord,6,1,train
80,Bb-6-aug-chord-2,chord,aug-chord,6,2,train
81,Bb-7-aug-chord-0,chord,aug-chord,7,0,train
82,Bb-7-aug-chord-1,chord,aug-chord,7,1,train
83,Bb-7-aug-chord-2,chord,aug-chord,7,2,train
84,C#-1-aug-chord-0,chord,aug-chord,1,0,train
85,C#-1-aug-chord-1,chord,aug-chord,1,1,train
86,C#-1-aug-chord-2,chord,aug-chord,1,2,train
87,C#-2-aug-chord-0,chord,aug-chord,2,0,train
88,C#-2-aug-chord-1,chord,aug-chord,2,1,train
89,C#-2-aug-chord-2,chord,aug-chord,2,2,train
90,C#-3-aug-chord-0,chord,aug-chord,3,0,train
91,C#-3-aug-chord-1,chord,aug-chord,3,1,train
92,C#-3-aug-chord-2,chord,aug-chord,3,2,train
93,C#-4-aug-chord-0,chord,aug-chord,4,0,validation
94,C#-4-aug-chord-1,chord,aug-chord,4,1,train
95,C#-4-aug-chord-2,chord,aug-chord,4,2,train
96,C#-5-aug-chord-0,chord,aug-chord,5,0,train
97,C#-5-aug-chord-1,chord,aug-chord,5,1,train
98,C#-5-aug-chord-2,chord,aug-chord,5,2,validation
99,C#-6-aug-chord-0,chord,aug-chord,6,0,train
100,C#-6-aug-chord-1,chord,aug-chord,6,1,train
101,C#-6-aug-chord-2,chord,aug-chord,6,2,train
102,C#-7-aug-chord-0,chord,aug-chord,7,0,train
103,C#-7-aug-chord-1,chord,aug-chord,7,1,train
104,C#-7-aug-chord-2,chord,aug-chord,7,2,test
105,C-1-aug-chord-0,chord,aug-chord,1,0,train
106,C-1-aug-chord-1,chord,aug-chord,1,1,train
107,C-1-aug-chord-2,chord,aug-chord,1,2,train
108,C-2-aug-chord-0,chord,aug-chord,2,0,train
109,C-2-aug-chord-1,chord,aug-chord,2,1,test
110,C-2-aug-chord-2,chord,aug-chord,2,2,train
111,C-3-aug-chord-0,chord,aug-chord,3,0,train
112,C-3-aug-chord-1,chord,aug-chord,3,1,train
113,C-3-aug-chord-2,chord,aug-chord,3,2,train
114,C-4-aug-chord-0,chord,aug-chord,4,0,train
115,C-4-aug-chord-1,chord,aug-chord,4,1,train
116,C-4-aug-chord-2,chord,aug-chord,4,2,train
117,C-5-aug-chord-0,chord,aug-chord,5,0,train
118,C-5-aug-chord-1,chord,aug-chord,5,1,train
119,C-5-aug-chord-2,chord,aug-chord,5,2,train
120,C-6-aug-chord-0,chord,aug-chord,6,0,train
121,C-6-aug-chord-1,chord,aug-chord,6,1,train
122,C-6-aug-chord-2,chord,aug-chord,6,2,test
123,C-7-aug-chord-0,chord,aug-chord,7,0,train
124,C-7-aug-chord-1,chord,aug-chord,7,1,train
125,C-7-aug-chord-2,chord,aug-chord,7,2,validation
126,C-8-aug-chord-0,chord,aug-chord,8,0,train
127,C-8-aug-chord-1,chord,aug-chord,8,1,train
128,C-8-aug-chord-2,chord,aug-chord,8,2,train
129,D-1-aug-chord-0,chord,aug-chord,1,0,train
130,D-1-aug-chord-1,chord,aug-chord,1,1,train
131,D-1-aug-chord-2,chord,aug-chord,1,2,train
132,D-2-aug-chord-0,chord,aug-chord,2,0,validation
133,D-2-aug-chord-1,chord,aug-chord,2,1,train
134,D-2-aug-chord-2,chord,aug-chord,2,2,train
135,D-3-aug-chord-0,chord,aug-chord,3,0,train
136,D-3-aug-chord-1,chord,aug-chord,3,1,test
137,D-3-aug-chord-2,chord,aug-chord,3,2,test
138,D-4-aug-chord-0,chord,aug-chord,4,0,train
139,D-4-aug-chord-1,chord,aug-chord,4,1,validation
140,D-4-aug-chord-2,chord,aug-chord,4,2,train
141,D-5-aug-chord-0,chord,aug-chord,5,0,train
142,D-5-aug-chord-1,chord,aug-chord,5,1,test
143,D-5-aug-chord-2,chord,aug-chord,5,2,validation
144,D-6-aug-chord-0,chord,aug-chord,6,0,train
145,D-6-aug-chord-1,chord,aug-chord,6,1,test
146,D-6-aug-chord-2,chord,aug-chord,6,2,test
147,D-7-aug-chord-0,chord,aug-chord,7,0,train
148,D-7-aug-chord-1,chord,aug-chord,7,1,train
149,D-7-aug-chord-2,chord,aug-chord,7,2,test
150,E-1-aug-chord-0,chord,aug-chord,1,0,train
151,E-1-aug-chord-1,chord,aug-chord,1,1,train
152,E-1-aug-chord-2,chord,aug-chord,1,2,train
153,E-2-aug-chord-0,chord,aug-chord,2,0,validation
154,E-2-aug-chord-1,chord,aug-chord,2,1,train
155,E-2-aug-chord-2,chord,aug-chord,2,2,train
156,E-3-aug-chord-0,chord,aug-chord,3,0,validation
157,E-3-aug-chord-1,chord,aug-chord,3,1,validation
158,E-3-aug-chord-2,chord,aug-chord,3,2,train
159,E-4-aug-chord-0,chord,aug-chord,4,0,train
160,E-4-aug-chord-1,chord,aug-chord,4,1,train
161,E-4-aug-chord-2,chord,aug-chord,4,2,train
162,E-5-aug-chord-0,chord,aug-chord,5,0,train
163,E-5-aug-chord-1,chord,aug-chord,5,1,train
164,E-5-aug-chord-2,chord,aug-chord,5,2,train
165,E-6-aug-chord-0,chord,aug-chord,6,0,validation
166,E-6-aug-chord-1,chord,aug-chord,6,1,train
167,E-6-aug-chord-2,chord,aug-chord,6,2,train
168,E-7-aug-chord-0,chord,aug-chord,7,0,train
169,E-7-aug-chord-1,chord,aug-chord,7,1,train
170,E-7-aug-chord-2,chord,aug-chord,7,2,train
171,Eb-1-aug-chord-0,chord,aug-chord,1,0,train
172,Eb-1-aug-chord-1,chord,aug-chord,1,1,train
173,Eb-1-aug-chord-2,chord,aug-chord,1,2,train
174,Eb-2-aug-chord-0,chord,aug-chord,2,0,train
175,Eb-2-aug-chord-1,chord,aug-chord,2,1,test
176,Eb-2-aug-chord-2,chord,aug-chord,2,2,test
177,Eb-3-aug-chord-0,chord,aug-chord,3,0,train
178,Eb-3-aug-chord-1,chord,aug-chord,3,1,train
179,Eb-3-aug-chord-2,chord,aug-chord,3,2,train
180,Eb-4-aug-chord-0,chord,aug-chord,4,0,train
181,Eb-4-aug-chord-1,chord,aug-chord,4,1,train
182,Eb-4-aug-chord-2,chord,aug-chord,4,2,train
183,Eb-5-aug-chord-0,chord,aug-chord,5,0,train
184,Eb-5-aug-chord-1,chord,aug-chord,5,1,train
185,Eb-5-aug-chord-2,chord,aug-chord,5,2,test
186,Eb-6-aug-chord-0,chord,aug-chord,6,0,test
187,Eb-6-aug-chord-1,chord,aug-chord,6,1,train
188,Eb-6-aug-chord-2,chord,aug-chord,6,2,train
189,Eb-7-aug-chord-0,chord,aug-chord,7,0,train
190,Eb-7-aug-chord-1,chord,aug-chord,7,1,validation
191,Eb-7-aug-chord-2,chord,aug-chord,7,2,validation
192,F#-1-aug-chord-0,chord,aug-chord,1,0,train
193,F#-1-aug-chord-1,chord,aug-chord,1,1,validation
194,F#-1-aug-chord-2,chord,aug-chord,1,2,train
195,F#-2-aug-chord-0,chord,aug-chord,2,0,train
196,F#-2-aug-chord-1,chord,aug-chord,2,1,train
197,F#-2-aug-chord-2,chord,aug-chord,2,2,train
198,F#-3-aug-chord-0,chord,aug-chord,3,0,train
199,F#-3-aug-chord-1,chord,aug-chord,3,1,test
200,F#-3-aug-chord-2,chord,aug-chord,3,2,test
201,F#-4-aug-chord-0,chord,aug-chord,4,0,train
202,F#-4-aug-chord-1,chord,aug-chord,4,1,test
203,F#-4-aug-chord-2,chord,aug-chord,4,2,train
204,F#-5-aug-chord-0,chord,aug-chord,5,0,train
205,F#-5-aug-chord-1,chord,aug-chord,5,1,train
206,F#-5-aug-chord-2,chord,aug-chord,5,2,train
207,F#-6-aug-chord-0,chord,aug-chord,6,0,train
208,F#-6-aug-chord-1,chord,aug-chord,6,1,train
209,F#-6-aug-chord-2,chord,aug-chord,6,2,train
210,F#-7-aug-chord-0,chord,aug-chord,7,0,train
211,F#-7-aug-chord-1,chord,aug-chord,7,1,train
212,F#-7-aug-chord-2,chord,aug-chord,7,2,train
213,F-1-aug-chord-0,chord,aug-chord,1,0,train
214,F-1-aug-chord-1,chord,aug-chord,1,1,validation
215,F-1-aug-chord-2,chord,aug-chord,1,2,train
216,F-2-aug-chord-0,chord,aug-chord,2,0,test
217,F-2-aug-chord-1,chord,aug-chord,2,1,train
218,F-2-aug-chord-2,chord,aug-chord,2,2,test
219,F-3-aug-chord-0,chord,aug-chord,3,0,train
220,F-3-aug-chord-1,chord,aug-chord,3,1,train
221,F-3-aug-chord-2,chord,aug-chord,3,2,train
222,F-4-aug-chord-0,chord,aug-chord,4,0,train
223,F-4-aug-chord-1,chord,aug-chord,4,1,validation
224,F-4-aug-chord-2,chord,aug-chord,4,2,train
225,F-5-aug-chord-0,chord,aug-chord,5,0,train
226,F-5-aug-chord-1,chord,aug-chord,5,1,train
227,F-5-aug-chord-2,chord,aug-chord,5,2,train
228,F-6-aug-chord-0,chord,aug-chord,6,0,train
229,F-6-aug-chord-1,chord,aug-chord,6,1,train
230,F-6-aug-chord-2,chord,aug-chord,6,2,train
231,F-7-aug-chord-0,chord,aug-chord,7,0,train
232,F-7-aug-chord-1,chord,aug-chord,7,1,test
233,F-7-aug-chord-2,chord,aug-chord,7,2,test
234,G-1-aug-chord-0,chord,aug-chord,1,0,test
235,G-1-aug-chord-1,chord,aug-chord,1,1,train
236,G-1-aug-chord-2,chord,aug-chord,1,2,train
237,G-2-aug-chord-0,chord,aug-chord,2,0,train
238,G-2-aug-chord-1,chord,aug-chord,2,1,train
239,G-2-aug-chord-2,chord,aug-chord,2,2,train
240,G-3-aug-chord-0,chord,aug-chord,3,0,train
241,G-3-aug-chord-1,chord,aug-chord,3,1,train
242,G-3-aug-chord-2,chord,aug-chord,3,2,train
243,G-4-aug-chord-0,chord,aug-chord,4,0,train
244,G-4-aug-chord-1,chord,aug-chord,4,1,train
245,G-4-aug-chord-2,chord,aug-chord,4,2,test
246,G-5-aug-chord-0,chord,aug-chord,5,0,test
247,G-5-aug-chord-1,chord,aug-chord,5,1,train
248,G-5-aug-chord-2,chord,aug-chord,5,2,validation
249,G-6-aug-chord-0,chord,aug-chord,6,0,train
250,G-6-aug-chord-1,chord,aug-chord,6,1,train
251,G-6-aug-chord-2,chord,aug-chord,6,2,train
252,G-7-aug-chord-0,chord,aug-chord,7,0,train
253,G-7-aug-chord-1,chord,aug-chord,7,1,train
254,G-7-aug-chord-2,chord,aug-chord,7,2,test
255,A-1-aug6-chord-0,chord,aug6-chord,1,0,train
256,A-1-aug6-chord-1,chord,aug6-chord,1,1,test
257,A-2-aug6-chord-0,chord,aug6-chord,2,0,train
258,A-2-aug6-chord-1,chord,aug6-chord,2,1,train
259,A-3-aug6-chord-0,chord,aug6-chord,3,0,test
260,A-3-aug6-chord-1,chord,aug6-chord,3,1,train
261,A-4-aug6-chord-0,chord,aug6-chord,4,0,train
262,A-4-aug6-chord-1,chord,aug6-chord,4,1,train
263,A-5-aug6-chord-0,chord,aug6-chord,5,0,test
264,A-5-aug6-chord-1,chord,aug6-chord,5,1,validation
265,A-6-aug6-chord-0,chord,aug6-chord,6,0,train
266,A-6-aug6-chord-1,chord,aug6-chord,6,1,train
267,A-7-aug6-chord-0,chord,aug6-chord,7,0,test
268,A-7-aug6-chord-1,chord,aug6-chord,7,1,train
269,Ab-1-aug6-chord-0,chord,aug6-chord,1,0,train
270,Ab-1-aug6-chord-1,chord,aug6-chord,1,1,train
271,Ab-2-aug6-chord-0,chord,aug6-chord,2,0,train
272,Ab-2-aug6-chord-1,chord,aug6-chord,2,1,test
273,Ab-3-aug6-chord-0,chord,aug6-chord,3,0,train
274,Ab-3-aug6-chord-1,chord,aug6-chord,3,1,train
275,Ab-4-aug6-chord-0,chord,aug6-chord,4,0,train
276,Ab-4-aug6-chord-1,chord,aug6-chord,4,1,validation
277,Ab-5-aug6-chord-0,chord,aug6-chord,5,0,validation
278,Ab-5-aug6-chord-1,chord,aug6-chord,5,1,train
279,Ab-6-aug6-chord-0,chord,aug6-chord,6,0,train
280,Ab-6-aug6-chord-1,chord,aug6-chord,6,1,train
281,Ab-7-aug6-chord-0,chord,aug6-chord,7,0,train
282,Ab-7-aug6-chord-1,chord,aug6-chord,7,1,train
283,B-1-aug6-chord-0,chord,aug6-chord,1,0,train
284,B-1-aug6-chord-1,chord,aug6-chord,1,1,train
285,B-2-aug6-chord-0,chord,aug6-chord,2,0,train
286,B-2-aug6-chord-1,chord,aug6-chord,2,1,train
287,B-3-aug6-chord-0,chord,aug6-chord,3,0,train
288,B-3-aug6-chord-1,chord,aug6-chord,3,1,train
289,B-4-aug6-chord-0,chord,aug6-chord,4,0,train
290,B-4-aug6-chord-1,chord,aug6-chord,4,1,train
291,B-5-aug6-chord-0,chord,aug6-chord,5,0,validation
292,B-5-aug6-chord-1,chord,aug6-chord,5,1,train
293,B-6-aug6-chord-0,chord,aug6-chord,6,0,validation
294,B-6-aug6-chord-1,chord,aug6-chord,6,1,train
295,B-7-aug6-chord-0,chord,aug6-chord,7,0,train
296,B-7-aug6-chord-1,chord,aug6-chord,7,1,train
297,Bb-1-aug6-chord-0,chord,aug6-chord,1,0,train
298,Bb-1-aug6-chord-1,chord,aug6-chord,1,1,train
299,Bb-2-aug6-chord-0,chord,aug6-chord,2,0,train
300,Bb-2-aug6-chord-1,chord,aug6-chord,2,1,train
301,Bb-3-aug6-chord-0,chord,aug6-chord,3,0,train
302,Bb-3-aug6-chord-1,chord,aug6-chord,3,1,train
303,Bb-4-aug6-chord-0,chord,aug6-chord,4,0,train
304,Bb-4-aug6-chord-1,chord,aug6-chord,4,1,train
305,Bb-5-aug6-chord-0,chord,aug6-chord,5,0,train
306,Bb-5-aug6-chord-1,chord,aug6-chord,5,1,train
307,Bb-6-aug6-chord-0,chord,aug6-chord,6,0,test
308,Bb-6-aug6-chord-1,chord,aug6-chord,6,1,train
309,Bb-7-aug6-chord-0,chord,aug6-chord,7,0,train
310,Bb-7-aug6-chord-1,chord,aug6-chord,7,1,test
311,C#-1-aug6-chord-0,chord,aug6-chord,1,0,train
312,C#-1-aug6-chord-1,chord,aug6-chord,1,1,train
313,C#-2-aug6-chord-0,chord,aug6-chord,2,0,validation
314,C#-2-aug6-chord-1,chord,aug6-chord,2,1,test
315,C#-3-aug6-chord-0,chord,aug6-chord,3,0,test
316,C#-3-aug6-chord-1,chord,aug6-chord,3,1,train
317,C#-4-aug6-chord-0,chord,aug6-chord,4,0,train
318,C#-4-aug6-chord-1,chord,aug6-chord,4,1,train
319,C#-5-aug6-chord-0,chord,aug6-chord,5,0,train
320,C#-5-aug6-chord-1,chord,aug6-chord,5,1,train
321,C#-6-aug6-chord-0,chord,aug6-chord,6,0,train
322,C#-6-aug6-chord-1,chord,aug6-chord,6,1,validation
323,C#-7-aug6-chord-0,chord,aug6-chord,7,0,train
324,C#-7-aug6-chord-1,chord,aug6-chord,7,1,validation
325,C-1-aug6-chord-0,chord,aug6-chord,1,0,test
326,C-1-aug6-chord-1,chord,aug6-chord,1,1,train
327,C-2-aug6-chord-0,chord,aug6-chord,2,0,train
328,C-2-aug6-chord-1,chord,aug6-chord,2,1,validation
329,C-3-aug6-chord-0,chord,aug6-chord,3,0,train
330,C-3-aug6-chord-1,chord,aug6-chord,3,1,train
331,C-4-aug6-chord-0,chord,aug6-chord,4,0,train
332,C-4-aug6-chord-1,chord,aug6-chord,4,1,test
333,C-5-aug6-chord-0,chord,aug6-chord,5,0,train
334,C-5-aug6-chord-1,chord,aug6-chord,5,1,train
335,C-6-aug6-chord-0,chord,aug6-chord,6,0,test
336,C-6-aug6-chord-1,chord,aug6-chord,6,1,train
337,C-7-aug6-chord-0,chord,aug6-chord,7,0,train
338,C-7-aug6-chord-1,chord,aug6-chord,7,1,train
339,C-8-aug6-chord-0,chord,aug6-chord,8,0,train
340,C-8-aug6-chord-1,chord,aug6-chord,8,1,train
341,D-1-aug6-chord-0,chord,aug6-chord,1,0,train
342,D-1-aug6-chord-1,chord,aug6-chord,1,1,train
343,D-2-aug6-chord-0,chord,aug6-chord,2,0,train
344,D-2-aug6-chord-1,chord,aug6-chord,2,1,train
345,D-3-aug6-chord-0,chord,aug6-chord,3,0,train
346,D-3-aug6-chord-1,chord,aug6-chord,3,1,test
347,D-4-aug6-chord-0,chord,aug6-chord,4,0,train
348,D-4-aug6-chord-1,chord,aug6-chord,4,1,train
349,D-5-aug6-chord-0,chord,aug6-chord,5,0,train
350,D-5-aug6-chord-1,chord,aug6-chord,5,1,test
351,D-6-aug6-chord-0,chord,aug6-chord,6,0,test
352,D-6-aug6-chord-1,chord,aug6-chord,6,1,train
353,D-7-aug6-chord-0,chord,aug6-chord,7,0,train
354,D-7-aug6-chord-1,chord,aug6-chord,7,1,train
355,E-1-aug6-chord-0,chord,aug6-chord,1,0,validation
356,E-1-aug6-chord-1,chord,aug6-chord,1,1,train
357,E-2-aug6-chord-0,chord,aug6-chord,2,0,train
358,E-2-aug6-chord-1,chord,aug6-chord,2,1,train
359,E-3-aug6-chord-0,chord,aug6-chord,3,0,train
360,E-3-aug6-chord-1,chord,aug6-chord,3,1,train
361,E-4-aug6-chord-0,chord,aug6-chord,4,0,train
362,E-4-aug6-chord-1,chord,aug6-chord,4,1,train
363,E-5-aug6-chord-0,chord,aug6-chord,5,0,train
364,E-5-aug6-chord-1,chord,aug6-chord,5,1,train
365,E-6-aug6-chord-0,chord,aug6-chord,6,0,train
366,E-6-aug6-chord-1,chord,aug6-chord,6,1,train
367,E-7-aug6-chord-0,chord,aug6-chord,7,0,train
368,E-7-aug6-chord-1,chord,aug6-chord,7,1,train
369,Eb-1-aug6-chord-0,chord,aug6-chord,1,0,train
370,Eb-1-aug6-chord-1,chord,aug6-chord,1,1,train
371,Eb-2-aug6-chord-0,chord,aug6-chord,2,0,validation
372,Eb-2-aug6-chord-1,chord,aug6-chord,2,1,train
373,Eb-3-aug6-chord-0,chord,aug6-chord,3,0,train
374,Eb-3-aug6-chord-1,chord,aug6-chord,3,1,train
375,Eb-4-aug6-chord-0,chord,aug6-chord,4,0,train
376,Eb-4-aug6-chord-1,chord,aug6-chord,4,1,train
377,Eb-5-aug6-chord-0,chord,aug6-chord,5,0,train
378,Eb-5-aug6-chord-1,chord,aug6-chord,5,1,train
379,Eb-6-aug6-chord-0,chord,aug6-chord,6,0,train
380,Eb-6-aug6-chord-1,chord,aug6-chord,6,1,train
381,Eb-7-aug6-chord-0,chord,aug6-chord,7,0,test
382,Eb-7-aug6-chord-1,chord,aug6-chord,7,1,train
383,F#-1-aug6-chord-0,chord,aug6-chord,1,0,train
384,F#-1-aug6-chord-1,chord,aug6-chord,1,1,test
385,F#-2-aug6-chord-0,chord,aug6-chord,2,0,train
386,F#-2-aug6-chord-1,chord,aug6-chord,2,1,train
387,F#-3-aug6-chord-0,chord,aug6-chord,3,0,train
388,F#-3-aug6-chord-1,chord,aug6-chord,3,1,train
389,F#-4-aug6-chord-0,chord,aug6-chord,4,0,train
390,F#-4-aug6-chord-1,chord,aug6-chord,4,1,test
391,F#-5-aug6-chord-0,chord,aug6-chord,5,0,train
392,F#-5-aug6-chord-1,chord,aug6-chord,5,1,train
393,F#-6-aug6-chord-0,chord,aug6-chord,6,0,validation
394,F#-6-aug6-chord-1,chord,aug6-chord,6,1,train
395,F#-7-aug6-chord-0,chord,aug6-chord,7,0,train
396,F#-7-aug6-chord-1,chord,aug6-chord,7,1,validation
397,F-1-aug6-chord-0,chord,aug6-chord,1,0,validation
398,F-1-aug6-chord-1,chord,aug6-chord,1,1,validation
399,F-2-aug6-chord-0,chord,aug6-chord,2,0,train
400,F-2-aug6-chord-1,chord,aug6-chord,2,1,train
401,F-3-aug6-chord-0,chord,aug6-chord,3,0,train
402,F-3-aug6-chord-1,chord,aug6-chord,3,1,test
403,F-4-aug6-chord-0,chord,aug6-chord,4,0,train
404,F-4-aug6-chord-1,chord,aug6-chord,4,1,train
405,F-5-aug6-chord-0,chord,aug6-chord,5,0,train
406,F-5-aug6-chord-1,chord,aug6-chord,5,1,train
407,F-6-aug6-chord-0,chord,aug6-chord,6,0,train
408,F-6-aug6-chord-1,chord,aug6-chord,6,1,train
409,F-7-aug6-chord-0,chord,aug6-chord,7,0,train
410,F-7-aug6-chord-1,chord,aug6-chord,7,1,train
411,G-1-aug6-chord-0,chord,aug6-chord,1,0,train
412,G-1-aug6-chord-1,chord,aug6-chord,1,1,train
413,G-2-aug6-chord-0,chord,aug6-chord,2,0,train
414,G-2-aug6-chord-1,chord,aug6-chord,2,1,train
415,G-3-aug6-chord-0,chord,aug6-chord,3,0,train
416,G-3-aug6-chord-1,chord,aug6-chord,3,1,train
417,G-4-aug6-chord-0,chord,aug6-chord,4,0,train
418,G-4-aug6-chord-1,chord,aug6-chord,4,1,validation
419,G-5-aug6-chord-0,chord,aug6-chord,5,0,train
420,G-5-aug6-chord-1,chord,aug6-chord,5,1,validation
421,G-6-aug6-chord-0,chord,aug6-chord,6,0,train
422,G-6-aug6-chord-1,chord,aug6-chord,6,1,test
423,G-7-aug6-chord-0,chord,aug6-chord,7,0,train
424,G-7-aug6-chord-1,chord,aug6-chord,7,1,train
425,A-1-dim-chord-0,chord,dim-chord,1,0,train
426,A-1-dim-chord-1,chord,dim-chord,1,1,train
427,A-1-dim-chord-2,chord,dim-chord,1,2,test
428,A-2-dim-chord-0,chord,dim-chord,2,0,train
429,A-2-dim-chord-1,chord,dim-chord,2,1,train
430,A-2-dim-chord-2,chord,dim-chord,2,2,validation
431,A-3-dim-chord-0,chord,dim-chord,3,0,train
432,A-3-dim-chord-1,chord,dim-chord,3,1,train
433,A-3-dim-chord-2,chord,dim-chord,3,2,train
434,A-4-dim-chord-0,chord,dim-chord,4,0,train
435,A-4-dim-chord-1,chord,dim-chord,4,1,train
436,A-4-dim-chord-2,chord,dim-chord,4,2,test
437,A-5-dim-chord-0,chord,dim-chord,5,0,train
438,A-5-dim-chord-1,chord,dim-chord,5,1,train
439,A-5-dim-chord-2,chord,dim-chord,5,2,train
440,A-6-dim-chord-0,chord,dim-chord,6,0,train
441,A-6-dim-chord-1,chord,dim-chord,6,1,test
442,A-6-dim-chord-2,chord,dim-chord,6,2,train
443,A-7-dim-chord-0,chord,dim-chord,7,0,train
444,A-7-dim-chord-1,chord,dim-chord,7,1,train
445,A-7-dim-chord-2,chord,dim-chord,7,2,train
446,Ab-1-dim-chord-0,chord,dim-chord,1,0,train
447,Ab-1-dim-chord-1,chord,dim-chord,1,1,train
448,Ab-1-dim-chord-2,chord,dim-chord,1,2,train
449,Ab-2-dim-chord-0,chord,dim-chord,2,0,train
450,Ab-2-dim-chord-1,chord,dim-chord,2,1,train
451,Ab-2-dim-chord-2,chord,dim-chord,2,2,test
452,Ab-3-dim-chord-0,chord,dim-chord,3,0,train
453,Ab-3-dim-chord-1,chord,dim-chord,3,1,train
454,Ab-3-dim-chord-2,chord,dim-chord,3,2,train
455,Ab-4-dim-chord-0,chord,dim-chord,4,0,train
456,Ab-4-dim-chord-1,chord,dim-chord,4,1,train
